fips,county,state,nearest_prog_id,nearest_drive_min,nearest_gc_miles
01001,Autauga,Alabama,1,97.92166666666667,71.77290509682129
01003,Baldwin,Alabama,33,195.37333333333333,143.91574254680967
01005,Barbour,Alabama,20,221.38333333333333,146.21324289649317
01007,Bibb,Alabama,1,64.00833333333334,37.99682710950769
01009,Blount,Alabama,1,56.468333333333334,33.28458965444838
01011,Bullock,Alabama,1,167.0366666666667,115.26619165052959
01013,Butler,Alabama,1,154.16666666666666,119.78739306024067
01015,Calhoun,Alabama,1,84.88666666666667,58.616151053825696
01017,Chambers,Alabama,20,115.445,84.39317117768323
01019,Cherokee,Alabama,1,112.74,81.82492535726416
01021,Chilton,Alabama,1,67.68333333333334,43.73953527933508
01023,Choctaw,Alabama,49,170.465,113.95023382439499
01025,Clarke,Alabama,1,215.74166666666667,139.03519040025697
01027,Clay,Alabama,1,101.825,58.9611027805036
01029,Cleburne,Alabama,20,95.47833333333332,68.44895236075611
01031,Coffee,Alabama,1,217.62,157.70888400707452
01033,Colbert,Alabama,1,135.015,98.15204432701333
01035,Conecuh,Alabama,1,184.29500000000002,144.77287847118401
01037,Coosa,Alabama,1,94.625,52.16831203442805
01039,Covington,Alabama,1,213.15333333333334,155.15391288147336
01041,Crenshaw,Alabama,1,171.94,124.95256634874892
01043,Cullman,Alabama,1,59.480000000000004,45.463970889359096
01045,Dale,Alabama,1,213.35666666666665,161.50567682490936
01047,Dallas,Alabama,1,125.38166666666666,76.75422844610291
01049,DeKalb,Alabama,1,118.83999999999999,86.38839987640914
01051,Elmore,Alabama,1,111.07333333333332,73.42191539148433
01053,Escambia,Alabama,1,220.01166666666668,169.5119816185714
01055,Etowah,Alabama,1,72.51833333333335,56.66211301454959
01057,Fayette,Alabama,1,94.02,57.67245597118226
01059,Franklin,Alabama,1,136.69333333333333,87.27553131066918
01061,Geneva,Alabama,1,246.66666666666666,176.88657157493626
01063,Greene,Alabama,1,103.93166666666666,79.82727304842135
01065,Hale,Alabama,1,119.35833333333333,69.1071038367948
01067,Henry,Alabama,20,241.53,169.82420697621805
01069,Houston,Alabama,1,239.325,178.8416070795653
01071,Jackson,Alabama,1,145.18833333333333,97.65692350716047
01073,Jefferson,Alabama,1,3.753333333333333,1.0255846202287748
01075,Lamar,Alabama,1,127.91000000000001,77.27515994629759
01077,Lauderdale,Alabama,86,139.62833333333336,99.2450945323306
01079,Lawrence,Alabama,1,107.19833333333332,76.4620567061467
01081,Lee,Alabama,20,134.745,102.41688543813419
01083,Limestone,Alabama,1,110.62666666666668,90.00717610919449
01085,Lowndes,Alabama,1,134.355,93.27747001528654
01087,Macon,Alabama,1,148.31833333333333,97.5507628029061
01089,Madison,Alabama,1,117.21666666666667,86.18440523513443
01091,Marengo,Alabama,1,156.67000000000002,99.16525103551504
01093,Marion,Alabama,1,112.185,74.56470511847606
01095,Marshall,Alabama,1,107.27,62.9023984801059
01097,Mobile,Alabama,33,162.065,124.08039915073272
01099,Monroe,Alabama,1,219.69666666666666,142.4619476543203
01101,Montgomery,Alabama,1,107.66833333333334,86.55777207112791
01103,Morgan,Alabama,1,91.97666666666667,70.09769355206868
01105,Perry,Alabama,1,113.00166666666668,71.60686346260078
01107,Pickens,Alabama,1,116.18666666666667,75.00918719029738
01109,Pike,Alabama,1,166.4,128.75697884388282
01111,Randolph,Alabama,1,130.23166666666665,80.98132771192441
01113,Russell,Alabama,20,144.22166666666666,104.26738550870188
01115,St. Clair,Alabama,1,52.00833333333333,26.7954417959083
01117,Shelby,Alabama,1,52.440000000000005,15.271287387055468
01119,Sumter,Alabama,1,138.65666666666667,104.99417741341748
01121,Talladega,Alabama,1,71.15166666666667,37.68553586687263
01123,Tallapoosa,Alabama,1,108.54833333333333,70.53775608383697
01125,Tuscaloosa,Alabama,1,68.11166666666666,45.999610660131665
01127,Walker,Alabama,1,51.63666666666666,34.41630292552504
01129,Washington,Alabama,49,223.26000000000002,132.28332151639276
01131,Wilcox,Alabama,1,184.34333333333333,108.75619893315897
01133,Winston,Alabama,1,97.89333333333335,57.602405428144735
02013,Aleutians East,Alaska,96,5822.516666666666,1831.2264513394646
02016,Aleutians West,Alaska,96,6573.546666666666,2010.5721367452018
02020,Anchorage,Alaska,96,2975.4533333333334,1428.8843831128215
02050,Bethel,Alaska,NA,NA,NA
02060,Bristol Bay,Alaska,NA,NA,NA
02063,Chugach,Alaska,96,2877.9016666666666,1314.6119128345163
02066,Copper River,Alaska,96,2767.305,1330.6841292429617
02068,Denali,Alaska,96,2950.3083333333334,1505.6655854229564
02070,Dillingham,Alaska,NA,NA,NA
02090,Fairbanks North Star,Alaska,96,2818.0716666666663,1512.841724664315
02100,Haines,Alaska,96,2377.483333333333,963.2589673073201
02105,Hoonah-Angoon,Alaska,96,3107.266666666667,903.6588008245353
02110,Juneau,Alaska,96,2899.4283333333337,894.7234132486982
02122,Kenai Peninsula,Alaska,96,3212.9716666666664,1439.7049712051873
02130,Ketchikan Gateway,Alaska,96,1652.5266666666669,667.1918502387828
02150,Kodiak Island,Alaska,96,3831.305,1425.7863794975008
02158,Kusilvak,Alaska,NA,NA,NA
02164,Lake and Peninsula,Alaska,NA,NA,NA
02170,Matanuska-Susitna,Alaska,96,2937.695,1432.441461573034
02180,Nome,Alaska,NA,NA,NA
02185,North Slope,Alaska,NA,NA,NA
02188,Northwest Arctic,Alaska,NA,NA,NA
02195,Petersburg,Alaska,96,2200.6316666666667,773.8902493775784
02198,Prince of Wales-Hyder,Alaska,NA,NA,NA
02220,Sitka,Alaska,96,3473.4683333333332,848.6645934893411
02230,Skagway,Alaska,96,2130.023333333333,971.5288841635207
02240,Southeast Fairbanks,Alaska,96,2699.455,1402.8666824354716
02275,Wrangell,Alaska,96,2017.84,739.9958166705418
02282,Yakutat,Alaska,96,3911.9816666666666,1081.837616904103
